<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20101001,00:00:00,85.9400000,89.9200000,85.7200000,89.0900000,332429890
20101004,00:00:00,89.3000000,90.7700000,88.9500000,89.8800000,194032721
20101005,00:00:00,89.8000000,92.0500000,89.4200000,91.9700000,198775753
20101006,00:00:00,92.5200000,92.9900000,90.7100000,91.2000000,210406027
20101007,00:00:00,91.4100000,91.7200000,90.0900000,90.4000000,145137617
20101008,00:00:00,90.2200000,90.5700000,89.1500000,90.5000000,125230555
20101011,00:00:00,90.9800000,91.8000000,90.9100000,91.7400000,64277589
20101012,00:00:00,90.8900000,91.3800000,90.0700000,90.9000000,129917836
20101013,00:00:00,91.6200000,92.5400000,90.7300000,91.3000000,224207640
20101014,00:00:00,91.8000000,92.4700000,90.9400000,91.4700000,174581744
20101015,00:00:00,91.2100000,92.5300000,90.5400000,92.5300000,167096115
20101018,00:00:00,92.0000000,95.1000000,91.7400000,94.9600000,226732208
20101019,00:00:00,95.0800000,97.3500000,94.9100000,95.3700000,258771507
20101020,00:00:00,94.9600000,97.8200000,94.6500000,97.7000000,205862977
20101021,00:00:00,97.8700000,103.5000000,97.4500000,103.3100000,384367907
20101022,00:00:00,103.4000000,104.4400000,101.3000000,101.9000000,240038898
20101025,00:00:00,103.5000000,104.2000000,102.2200000,102.3000000,131972417
20101026,00:00:00,102.0000000,102.3400000,99.7900000,101.4200000,156315853
20101027,00:00:00,101.2000000,101.4400000,99.6700000,99.7200000,138528539
20101028,00:00:00,100.4000000,101.0900000,99.1600000,99.3500000,150956117
20101029,00:00:00,99.0700000,101.8700000,98.3500000,101.3600000,170649901
20101101,00:00:00,102.3400000,103.0600000,101.6100000,101.8500000,145458267
20101102,00:00:00,102.1000000,103.3500000,101.7300000,102.3500000,97340376
20101103,00:00:00,102.5900000,103.7500000,102.3800000,103.3000000,98225650
20101108,00:00:00,105.5800000,106.4700000,103.7600000,103.9500000,156520399
20101109,00:00:00,103.7500000,105.0800000,103.0700000,103.5900000,155664250
20101110,00:00:00,102.9700000,103.5700000,100.2000000,100.4400000,215013743
20101111,00:00:00,101.3800000,101.4400000,97.5300000,98.4000000,233655844
20101112,00:00:00,97.1100000,98.4300000,95.8600000,97.9400000,233233020
20101113,00:00:00,97.3600000,97.8700000,97.0500000,97.8000000,24060330
20101115,00:00:00,98.1500000,99.5100000,97.5200000,99.2000000,145037988
20101116,00:00:00,98.2300000,98.3300000,95.0200000,95.2600000,243007245
20101117,00:00:00,94.8000000,97.5500000,94.7700000,97.2000000,278978860
20101118,00:00:00,98.2100000,99.7100000,97.9600000,99.6600000,224809066
20101119,00:00:00,99.7600000,99.9300000,97.7700000,98.7000000,170893376
20101122,00:00:00,99.7300000,100.7100000,98.9000000,99.1500000,168054538
20101123,00:00:00,98.3100000,99.3400000,97.3500000,98.5000000,221415906
20101124,00:00:00,98.9500000,101.5500000,97.6700000,101.3100000,219105320
20101125,00:00:00,101.4100000,103.1000000,100.7800000,102.6000000,173769896
20101126,00:00:00,102.0000000,102.3900000,99.9500000,101.3600000,175651899
20101129,00:00:00,102.2600000,103.0100000,100.3800000,100.7100000,163566614
20101130,00:00:00,101.0100000,101.9500000,99.6200000,101.5100000,161577920
20101201,00:00:00,102.1200000,103.7700000,101.6600000,103.3400000,167721162
20101202,00:00:00,103.9900000,104.3100000,101.6000000,103.6400000,226749029
20101203,00:00:00,103.7500000,104.0000000,102.0800000,103.0300000,174973698
20101206,00:00:00,103.4200000,105.9300000,102.9500000,105.5600000,251853987
20101207,00:00:00,106.0100000,108.3000000,105.7300000,107.3700000,248860093
20101208,00:00:00,106.5500000,108.9000000,104.6500000,104.6700000,276492126
20101209,00:00:00,106.0100000,106.2600000,104.5000000,104.6300000,204222797
20101210,00:00:00,104.8700000,105.5900000,103.9500000,104.9200000,109932430
20101213,00:00:00,105.8000000,107.9900000,105.4800000,107.4500000,136601988
20101214,00:00:00,107.1700000,108.1000000,106.3100000,107.2500000,149054219
20101215,00:00:00,106.9900000,108.2500000,105.9400000,107.7000000,159641413
20101216,00:00:00,107.0000000,107.9600000,106.0000000,106.3000000,114366204
20101217,00:00:00,106.8100000,107.1700000,105.4400000,105.7000000,90511802
20101220,00:00:00,105.4900000,106.4000000,105.1100000,105.6000000,95504751
20101221,00:00:00,106.1700000,106.8400000,105.7100000,106.8000000,87083986
20101222,00:00:00,106.9500000,107.6400000,106.6600000,106.7800000,73835745
20101223,00:00:00,107.0100000,107.2500000,106.5200000,106.9900000,42710368
20101224,00:00:00,107.0700000,107.2000000,106.0200000,106.2300000,34252423
20101227,00:00:00,106.2500000,106.3900000,105.0100000,105.1200000,41752690
20101228,00:00:00,105.3600000,105.6000000,104.3700000,104.4700000,59869796
20101229,00:00:00,104.8300000,105.0600000,103.2500000,104.3500000,65831554
20101230,00:00:00,104.3800000,104.6800000,103.5000000,104.1800000,54011898
20110111,00:00:00,104.9900000,105.3000000,102.5000000,103.7800000,168295493
20110112,00:00:00,104.4100000,107.1500000,103.8700000,107.0800000,158000084
20110113,00:00:00,107.3400000,108.8700000,106.0400000,107.5400000,202552956
20110114,00:00:00,107.1400000,108.1300000,106.5400000,107.2100000,111849846
20110117,00:00:00,107.3200000,109.8800000,107.1500000,109.5700000,128877249
20110118,00:00:00,109.5900000,110.9500000,107.8000000,108.0800000,183491362
20110119,00:00:00,108.9000000,109.1800000,107.3700000,107.6600000,135632953
20110120,00:00:00,106.8600000,106.9500000,105.1500000,105.2100000,163474355
